@relation 'generators.RandomRBFGenerator -a 20'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute class {class1,class2}

@data

0.317464,0.188857,0.948439,0.842995,0.708214,0.109615,0.173487,0.6897,0.277494,0.296697,0.535854,0.696823,0.855452,0.670969,0.72498,0.358327,0.916805,0.915793,0.194297,0.844568,class2
0.773514,0.58568,0.519116,0.472101,1.100047,0.057352,-0.581257,0.101085,-0.348341,0.704316,1.482531,0.453537,-0.130839,-0.330653,0.360191,-0.083326,1.461051,-0.234015,0.149517,0.975935,class2
0.528247,0.96924,-0.128784,0.545317,0.677327,0.569738,0.869843,0.594209,1.164711,0.24657,1.202015,0.314476,0.871678,0.556086,0.728634,0.42347,1.237187,-0.145521,-0.29942,0.429706,class2
0.658471,0.742725,0.357818,1.003517,0.420038,0.365896,0.36514,0.088818,0.13,0.993902,0.172286,0.521808,0.390282,0.886196,0.999981,0.524462,0.806593,0.641402,0.043682,0.606174,class1
0.903112,0.257969,0.759969,0.965788,0.592566,0.346851,0.391285,0.734042,0.366568,0.29789,0.422129,0.545325,0.622341,0.213202,0.596443,0.283821,0.496618,0.696294,0.034504,0.255322,class1
-0.152843,0.968511,0.623161,0.475746,-0.18802,1.140746,0.574595,1.035934,0.602111,0.493444,0.498095,0.199621,0.876296,0.244904,0.165083,0.90764,-0.075334,0.86514,0.539517,0.624176,class2
0.73256,0.448635,-0.087121,0.824073,1.050166,0.183849,1.072308,0.81686,0.820125,0.47493,0.287311,0.895617,0.328217,0.133463,0.871647,0.089824,0.825852,-0.020097,0.346007,0.425798,class2
0.794921,0.836379,0.433588,0.341249,0.297984,0.082708,0.561641,0.259236,0.600782,0.965226,0.630669,0.552477,0.537693,0.194443,0.996538,0.711994,0.879391,0.858365,0.774422,0.220775,class2
0.928982,0.682304,0.529821,0.576728,0.624954,1.008471,0.414932,0.099981,-0.001596,0.926527,0.746204,0.064747,0.465036,0.736172,0.631315,0.382573,0.717913,0.333691,0.566688,0.900343,class1
