@relation 'generators.SEAGenerator '

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data

7.308782,4.100808,2.077148,groupB
6.588672,7.107396,1.527362,groupB
9.398654,9.471949,9.370821,groupB
9.139629,1.593396,3.690026,groupB
1.159671,7.705359,6.598927,groupB
7.616747,6.239725,8.79263,groupB
8.052278,0.050252,5.231352,groupA
7.0501,2.750299,0.753878,groupB
5.771003,2.049135,6.233638,groupA
0.012986,6.835265,4.862596,groupA
5.403971,9.73834,2.454266,groupB
8.456557,4.065408,9.498398,groupA
8.899088,0.383269,5.923792,groupB
2.28802,9.918821,5.862484,groupA
2.067375,3.746495,4.633498,groupA
2.907322,0.514484,1.835402,groupA
6.304049,9.09584,5.076599,groupB
1.166703,1.368305,5.460894,groupA
9.624146,2.094927,1.726488,groupB
8.011571,1.098411,5.187869,groupB
6.990066,2.046356,2.549095,groupB
1.743711,6.995916,9.289719,groupB
8.363149,1.631035,6.374974,groupB
6.54426,3.728733,9.105662,groupB
7.070442,7.233716,5.094929,groupB
1.396138,5.965788,9.472602,groupA
1.236712,6.169514,4.818624,groupB
0.634492,5.908698,2.840092,groupA
0.73026,0.740479,6.799354,groupA
3.533392,1.54975,3.667713,groupA
5.986325,2.920934,8.764427,groupB
5.397619,6.418367,9.706215,groupB
7.298239,8.867444,0.437027,groupB
3.386553,2.991263,0.842521,groupB
7.638205,4.277001,9.991834,groupB
6.304712,5.528079,5.434191,groupB
9.072812,2.464856,2.484888,groupB
8.540498,7.777117,2.164067,groupB
0.244721,4.510085,3.691343,groupA
1.310681,0.420465,8.242939,groupA
7.433696,9.291026,5.898935,groupB
0.083517,5.46374,8.3552,groupA
8.805987,6.304014,9.288937,groupB
2.559627,2.413356,4.242532,groupA
3.786229,7.866092,7.127522,groupB
7.975631,5.270359,4.176354,groupB
6.670734,4.26443,4.005572,groupB
5.47224,0.754076,6.511447,groupA
5.127188,4.786759,1.311688,groupB
4.496849,2.678979,9.478478,groupA
7.779503,2.881007,7.813547,groupB
9.657951,7.803253,3.170249,groupB
1.302219,2.344741,6.560824,groupA
9.002531,0.358949,3.764263,groupB
7.237512,7.76991,2.422761,groupB
5.690816,4.540692,4.697351,groupB
6.379469,3.033671,0.65397,groupB
3.35069,5.793622,5.213967,groupB
3.719405,8.57127,8.070764,groupB
0.993213,6.798073,4.161747,groupA
0.743614,6.091411,1.786624,groupA
1.53548,9.303414,4.595106,groupB
6.912259,3.490107,2.281355,groupB
3.37935,8.337982,3.882611,groupB
3.489814,0.530935,6.061902,groupA
6.615556,8.852841,1.891668,groupB
6.864306,2.245739,4.445994,groupB
1.05936,9.834627,6.010314,groupB
8.157702,1.555786,4.534042,groupB
8.912894,1.561529,7.46197,groupB
6.961129,0.948774,9.588081,groupA
6.775948,4.54075,2.74585,groupB
4.699536,8.196824,9.690972,groupB
8.717937,0.517525,7.261926,groupA
1.003754,8.189424,7.478598,groupB
2.264571,4.613744,9.307335,groupA
9.451021,0.275739,7.469232,groupB
5.005414,0.965814,1.443545,groupB
8.187796,2.148099,8.337721,groupB
8.264131,2.981654,1.588645,groupB
4.613827,1.196398,5.105833,groupB
5.670332,3.709959,9.341456,groupA
8.822352,8.799772,0.604599,groupB
8.070986,6.609952,2.855528,groupB
2.92982,8.855047,5.443436,groupB
9.857787,9.458035,9.471917,groupB
2.49285,7.966813,7.079271,groupB
7.181458,9.030189,4.251469,groupB
9.611818,2.381135,4.531882,groupB
5.499313,4.547299,7.26118,groupA
8.643764,7.989182,3.497806,groupB
3.307224,5.052657,1.645982,groupB
6.696159,5.177064,5.543976,groupB
5.192355,2.020534,3.459391,groupA
4.783721,8.7529,4.124413,groupB
5.218259,4.341976,3.102073,groupB
8.519218,0.491339,8.898259,groupB
7.171533,8.270075,3.842125,groupB
7.714687,3.593386,6.031253,groupB
3.057186,4.715445,3.461688,groupA
6.432766,0.678005,6.027195,groupA
0.017997,2.62587,3.207672,groupA
9.344963,1.733911,1.655577,groupB
9.408617,0.951421,4.085747,groupB
5.819829,4.477218,4.135089,groupB
5.727322,8.398314,9.791671,groupB
7.217687,7.214348,5.210938,groupB
9.272796,1.984864,0.320629,groupB
5.330505,2.677349,7.464355,groupB
5.191867,9.395373,7.082503,groupB
5.296247,7.213565,5.289676,groupB
7.803626,3.629299,7.821059,groupA
2.621709,3.937108,9.658499,groupA
8.528791,6.060784,9.265922,groupB
7.688144,0.990763,4.201452,groupB
9.189948,6.502347,2.309402,groupB
0.070502,2.374182,3.620937,groupA
4.072297,2.713869,0.884104,groupA
4.720549,0.806527,5.389939,groupA
5.19234,9.342862,8.906264,groupB
9.47068,2.751386,3.385149,groupB
9.414138,9.343245,6.085006,groupB
0.43435,2.791237,7.76811,groupA
1.746108,7.182659,4.88372,groupB
4.868692,9.167131,4.716735,groupB
4.379751,2.791973,4.478554,groupA
4.437553,0.183963,9.592077,groupA
0.69873,6.259561,8.970781,groupA
4.91836,8.508216,1.963712,groupB
4.122108,7.589487,9.11664,groupB
0.92116,4.264645,2.102845,groupA
7.504615,3.609558,6.425044,groupB
9.62371,0.441888,1.778613,groupB
4.048724,3.098979,3.577495,groupB
8.22739,1.960664,2.622378,groupB
5.733335,8.026511,9.562711,groupB
4.503831,4.272329,5.193948,groupA
1.610311,2.864314,4.259272,groupA
3.876403,0.059132,9.081138,groupA
4.084901,0.6941,0.742979,groupA
8.179828,7.894103,7.799713,groupB
1.206993,3.208528,6.563313,groupA
0.577399,7.450253,9.534119,groupB
9.616202,2.036315,8.707561,groupB
6.497515,1.640619,9.824722,groupA
1.838411,0.25054,9.059668,groupA
7.11561,1.335661,5.51488,groupB
2.779473,6.053286,9.30096,groupB
8.624759,6.816817,9.358385,groupB
5.459671,8.905862,3.454229,groupB
